10_002_C_snippet
 risk of interval [0,4]: 0.015125620178878307
 risk of interval [65,69]: 0.8307493925094604
 risk of interval [70,74]: 0.7580062747001648
25_013_P_snippet
 risk of interval [0,4]: 0.6705620288848877
 risk of interval [5,9]: 0.9002783298492432
 risk of interval [10,14]: 0.9205354452133179
 risk of interval [15,19]: 0.98344886302948
 risk of interval [20,24]: 0.9814774394035339
 risk of interval [25,29]: 0.9890921711921692
 risk of interval [30,34]: 0.9258346557617188
 risk of interval [35,39]: 0.768110990524292
 risk of interval [40,44]: 0.8019144535064697
 risk of interval [45,49]: 0.980919361114502
 risk of interval [50,54]: 0.8930236101150513
 risk of interval [55,59]: 0.7941122651100159
 risk of interval [60,64]: 0.7838760018348694
 risk of interval [65,69]: 0.8057518005371094
 risk of interval [70,74]: 0.9714524745941162
25_014_A_snippet
 risk of interval [0,4]: 0.20749883353710175
 risk of interval [5,9]: 0.8607558012008667
 risk of interval [10,14]: 0.7091695070266724
 risk of interval [15,19]: 0.8213175535202026
 risk of interval [20,24]: 0.9442377686500549
 risk of interval [25,29]: 0.9208464026451111
 risk of interval [30,34]: 0.7737777233123779
 risk of interval [35,39]: 0.9183405637741089
 risk of interval [40,44]: 0.782911479473114
 risk of interval [45,49]: 0.7203519940376282
 risk of interval [50,54]: 0.8630005717277527
 risk of interval [55,59]: 0.8144041299819946
 risk of interval [60,64]: 0.8191626071929932
 risk of interval [65,69]: 0.8987410068511963
 risk of interval [70,74]: 0.8798064589500427
25_015_A_snippet
 risk of interval [0,4]: 0.9660013318061829
 risk of interval [5,9]: 0.878108024597168
 risk of interval [10,14]: 0.7318597435951233
 risk of interval [15,19]: 0.9957053661346436
 risk of interval [20,24]: 0.7504912614822388
 risk of interval [25,29]: 0.9240376949310303
 risk of interval [30,34]: 0.9345607161521912
 risk of interval [35,39]: 0.9406567215919495
 risk of interval [40,44]: 0.9546115398406982
 risk of interval [45,49]: 0.8278120756149292
 risk of interval [50,54]: 0.943971574306488
 risk of interval [55,59]: 0.8116468787193298
 risk of interval [60,64]: 0.8331363201141357
 risk of interval [65,69]: 0.9287111759185791
 risk of interval [70,74]: 0.8463882207870483
25_018_P_snippet
 risk of interval [0,4]: 0.9274343252182007
 risk of interval [5,9]: 0.8406990766525269
 risk of interval [10,14]: 0.12812310457229614
 risk of interval [15,19]: 0.6005902886390686
 risk of interval [20,24]: 0.8957393169403076
 risk of interval [25,29]: 0.9627663493156433
 risk of interval [30,34]: 0.9030210971832275
 risk of interval [35,39]: 0.6532183885574341
 risk of interval [40,44]: 0.6599996089935303
 risk of interval [45,49]: 0.2530844807624817
 risk of interval [50,54]: 0.2530844807624817
 risk of interval [55,59]: 0.2530844807624817
 risk of interval [60,64]: 0.6234630942344666
 risk of interval [65,69]: 0.8598849177360535
 risk of interval [70,74]: 0.5156428217887878
25_019_C_snippet
 risk of interval [0,4]: 0.8967898488044739
 risk of interval [5,9]: 0.7101390361785889
 risk of interval [10,14]: 0.8598738312721252
 risk of interval [15,19]: 0.8039323091506958
 risk of interval [20,24]: 0.8386618494987488
 risk of interval [25,29]: 0.9824051856994629
 risk of interval [30,34]: 0.8030064702033997
 risk of interval [35,39]: 0.8518837690353394
 risk of interval [40,44]: 0.9822306632995605
 risk of interval [45,49]: 0.9829080104827881
 risk of interval [50,54]: 0.847896158695221
 risk of interval [55,59]: 0.8224075436592102
 risk of interval [60,64]: 0.3167949914932251
 risk of interval [65,69]: 0.7430819272994995
 risk of interval [70,74]: 0.7769965529441833
25_020_A_snippet
 risk of interval [0,4]: 0.9202386140823364
 risk of interval [5,9]: 0.8218925595283508
 risk of interval [10,14]: 0.7482374310493469
 risk of interval [15,19]: 0.9528428912162781
 risk of interval [20,24]: 0.958073079586029
 risk of interval [25,29]: 0.9800419807434082
 risk of interval [30,34]: 0.30847620964050293
 risk of interval [35,39]: 0.5702348947525024
 risk of interval [40,44]: 0.4721425473690033
 risk of interval [45,49]: 0.6234489679336548
 risk of interval [50,54]: 0.9389490485191345
 risk of interval [55,59]: 0.9158755540847778
 risk of interval [60,64]: 0.8648853302001953
 risk of interval [65,69]: 0.9273550510406494
 risk of interval [70,74]: 0.9213399887084961
25_021_C_snippet
 risk of interval [0,4]: 0.44326427578926086
 risk of interval [5,9]: 0.30269742012023926
 risk of interval [10,14]: 0.9676516056060791
 risk of interval [15,19]: 0.9906087517738342
 risk of interval [20,24]: 0.9799757599830627
 risk of interval [25,29]: 0.9749041795730591
 risk of interval [30,34]: 0.9103453159332275
 risk of interval [35,39]: 0.6238585114479065
 risk of interval [40,44]: 0.8266435265541077
 risk of interval [45,49]: 0.7286145091056824
 risk of interval [50,54]: 0.8619403839111328
 risk of interval [55,59]: 0.970493733882904
 risk of interval [60,64]: 0.9283301830291748
 risk of interval [65,69]: 0.8931747674942017
 risk of interval [70,74]: 0.9626878499984741
25_022_A_snippet
 risk of interval [0,4]: 0.1779618263244629
 risk of interval [5,9]: 0.4742381274700165
 risk of interval [10,14]: 0.3531797230243683
 risk of interval [15,19]: 0.856845498085022
 risk of interval [20,24]: 0.8617157340049744
 risk of interval [25,29]: 0.9912197589874268
 risk of interval [30,34]: 0.8532639741897583
 risk of interval [35,39]: 0.905678927898407
 risk of interval [40,44]: 0.9168434739112854
 risk of interval [45,49]: 0.9657016396522522
 risk of interval [50,54]: 0.8668921589851379
 risk of interval [55,59]: 0.9799395203590393
 risk of interval [60,64]: 0.887548565864563
 risk of interval [65,69]: 0.6693037748336792
 risk of interval [70,74]: 0.7128736972808838
25_024_A_snippet
 risk of interval [0,4]: 0.8666286468505859
 risk of interval [5,9]: 0.8715050220489502
 risk of interval [10,14]: 0.8873584866523743
 risk of interval [15,19]: 0.9723761081695557
 risk of interval [20,24]: 0.989429235458374
 risk of interval [25,29]: 0.2530844807624817
 risk of interval [30,34]: 0.2530844807624817
 risk of interval [35,39]: 0.2530844807624817
 risk of interval [40,44]: 0.2530844807624817
 risk of interval [45,49]: 0.2530844807624817
 risk of interval [50,54]: 0.2530844807624817
 risk of interval [55,59]: 0.10462675988674164
 risk of interval [60,64]: 0.4978456199169159
 risk of interval [65,69]: 0.2530844807624817
 risk of interval [70,74]: 0.2530844807624817
25_025_A_snippet
 risk of interval [0,4]: 0.9853566288948059
 risk of interval [5,9]: 0.9801539182662964
 risk of interval [10,14]: 0.9694144129753113
 risk of interval [15,19]: 0.9543919563293457
 risk of interval [20,24]: 0.9686782360076904
 risk of interval [25,29]: 0.746227502822876
 risk of interval [30,34]: 0.9743087887763977
 risk of interval [35,39]: 0.9477570056915283
 risk of interval [40,44]: 0.37698885798454285
 risk of interval [45,49]: 0.5589655637741089
 risk of interval [50,54]: 0.6421338319778442
 risk of interval [55,59]: 0.8601138591766357
 risk of interval [60,64]: 0.8567405343055725
 risk of interval [65,69]: 0.7456986308097839
 risk of interval [70,74]: 0.7249152660369873
25_026_A_snippet
 risk of interval [0,4]: 0.9238975644111633
 risk of interval [5,9]: 0.8206391334533691
 risk of interval [10,14]: 0.38610973954200745
 risk of interval [15,19]: 0.8839378952980042
 risk of interval [20,24]: 0.7368885278701782
 risk of interval [25,29]: 0.7928378582000732
 risk of interval [30,34]: 0.8787882328033447
 risk of interval [35,39]: 0.9332779049873352
 risk of interval [40,44]: 0.583962082862854
 risk of interval [45,49]: 0.664099395275116
 risk of interval [50,54]: 0.514150857925415
 risk of interval [55,59]: 0.467907190322876
 risk of interval [60,64]: 0.6103917360305786
 risk of interval [65,69]: 0.917847752571106
 risk of interval [70,74]: 0.5691767930984497
26_001_P_snippet
 risk of interval [0,4]: 0.039282217621803284
 risk of interval [5,9]: 0.5727221965789795
 risk of interval [10,14]: 0.6595067977905273
 risk of interval [15,19]: 0.9292917847633362
 risk of interval [20,24]: 0.6443204283714294
 risk of interval [25,29]: 0.7357251048088074
 risk of interval [30,34]: 0.8844437599182129
 risk of interval [35,39]: 0.6651614308357239
 risk of interval [40,44]: 0.07011844962835312
 risk of interval [45,49]: 0.7368787527084351
 risk of interval [50,54]: 0.8528838753700256
 risk of interval [55,59]: 0.7380196452140808
 risk of interval [60,64]: 0.7454256415367126
 risk of interval [65,69]: 0.6130073666572571
 risk of interval [70,74]: 0.3629271984100342
26_003_P_snippet
 risk of interval [0,4]: 0.1106705293059349
 risk of interval [5,9]: 0.1428300142288208
 risk of interval [10,14]: 0.7546682953834534
 risk of interval [15,19]: 0.985058605670929
 risk of interval [20,24]: 0.9603309631347656
 risk of interval [25,29]: 0.26360639929771423
 risk of interval [30,34]: 0.7628999948501587
 risk of interval [35,39]: 0.44344115257263184
 risk of interval [40,44]: 0.868827223777771
 risk of interval [45,49]: 0.8359508514404297
 risk of interval [50,54]: 0.8559913635253906
 risk of interval [55,59]: 0.4842686057090759
 risk of interval [60,64]: 0.5432624220848083
 risk of interval [65,69]: 0.9147897362709045
 risk of interval [70,74]: 0.9016678333282471
26_004_P_snippet
 risk of interval [0,4]: 0.2285359799861908
 risk of interval [5,9]: 0.5356426239013672
 risk of interval [10,14]: 0.7242193818092346
 risk of interval [15,19]: 0.5897042751312256
 risk of interval [20,24]: 0.6258020997047424
 risk of interval [25,29]: 0.9813588857650757
 risk of interval [30,34]: 0.8364275097846985
 risk of interval [35,39]: 0.23529554903507233
 risk of interval [40,44]: 0.23120559751987457
 risk of interval [45,49]: 0.23602990806102753
 risk of interval [50,54]: 0.42041152715682983
 risk of interval [55,59]: 0.5065456628799438
 risk of interval [60,64]: 0.4383595287799835
 risk of interval [65,69]: 0.45742082595825195
 risk of interval [70,74]: 0.3403739035129547
26_005_P_snippet
 risk of interval [0,4]: 0.048484254628419876
 risk of interval [5,9]: 0.13667841255664825
 risk of interval [10,14]: 0.955155611038208
 risk of interval [15,19]: 0.96941739320755
 risk of interval [20,24]: 0.9654577374458313
 risk of interval [25,29]: 0.9875571131706238
 risk of interval [30,34]: 0.9714776277542114
 risk of interval [35,39]: 0.7545140981674194
 risk of interval [40,44]: 0.609703540802002
 risk of interval [45,49]: 0.42773592472076416
 risk of interval [50,54]: 0.38342344760894775
 risk of interval [55,59]: 0.9644001126289368
 risk of interval [60,64]: 0.7230374217033386
 risk of interval [65,69]: 0.1751267910003662
 risk of interval [70,74]: 0.28049778938293457
26_006_P_snippet
 risk of interval [0,4]: 0.713678240776062
 risk of interval [5,9]: 0.8356168866157532
 risk of interval [10,14]: 0.9012338519096375
 risk of interval [15,19]: 0.9810929298400879
 risk of interval [20,24]: 0.9816206693649292
 risk of interval [25,29]: 0.9788882732391357
 risk of interval [30,34]: 0.9402636885643005
 risk of interval [35,39]: 0.9160365462303162
 risk of interval [40,44]: 0.7592713236808777
 risk of interval [45,49]: 0.8011988997459412
 risk of interval [50,54]: 0.939283549785614
 risk of interval [55,59]: 0.8387641906738281
 risk of interval [60,64]: 0.6340377926826477
 risk of interval [65,69]: 0.8142223358154297
 risk of interval [70,74]: 0.7796326279640198
26_007_P_snippet
 risk of interval [0,4]: 0.9051651358604431
 risk of interval [5,9]: 0.8343337178230286
 risk of interval [10,14]: 0.9730808138847351
 risk of interval [15,19]: 0.8589070439338684
 risk of interval [20,24]: 0.86518394947052
 risk of interval [25,29]: 0.9785074591636658
 risk of interval [30,34]: 0.9581766128540039
 risk of interval [35,39]: 0.9893261790275574
 risk of interval [40,44]: 0.9759578108787537
 risk of interval [45,49]: 0.9719206690788269
 risk of interval [50,54]: 0.9590442180633545
 risk of interval [55,59]: 0.9006186723709106
 risk of interval [60,64]: 0.9403946399688721
 risk of interval [65,69]: 0.7825648188591003
 risk of interval [70,74]: 0.7497100830078125
26_008_P_snippet
 risk of interval [0,4]: 0.07508336752653122
 risk of interval [5,9]: 0.10924886912107468
 risk of interval [10,14]: 0.610721230506897
 risk of interval [15,19]: 0.9434806108474731
 risk of interval [20,24]: 0.9029306769371033
 risk of interval [25,29]: 0.7901714444160461
 risk of interval [30,34]: 0.4449789226055145
 risk of interval [35,39]: 0.5555508136749268
 risk of interval [40,44]: 0.6205863952636719
 risk of interval [45,49]: 0.7071869373321533
 risk of interval [50,54]: 0.5547694563865662
 risk of interval [55,59]: 0.5638401508331299
 risk of interval [60,64]: 0.24459323287010193
 risk of interval [65,69]: 0.07044725865125656
 risk of interval [70,74]: 0.15607775747776031
26_009_P_snippet
 risk of interval [0,4]: 0.026230735704302788
 risk of interval [5,9]: 0.3136044442653656
 risk of interval [10,14]: 0.7630512118339539
 risk of interval [15,19]: 0.9854484796524048
 risk of interval [20,24]: 0.979397177696228
 risk of interval [25,29]: 0.981098473072052
 risk of interval [30,34]: 0.2452077716588974
 risk of interval [35,39]: 0.037846438586711884
 risk of interval [40,44]: 0.7813503742218018
 risk of interval [45,49]: 0.25508660078048706
 risk of interval [50,54]: 0.21021637320518494
 risk of interval [55,59]: 0.8697715997695923
 risk of interval [60,64]: 0.23614782094955444
 risk of interval [65,69]: 0.22642773389816284
 risk of interval [70,74]: 0.28050142526626587
26_010_P_snippet
 risk of interval [0,4]: 0.7714940905570984
 risk of interval [5,9]: 0.30275070667266846
 risk of interval [10,14]: 0.873436450958252
 risk of interval [15,19]: 0.9685314297676086
 risk of interval [20,24]: 0.9840588569641113
 risk of interval [25,29]: 0.9845560789108276
 risk of interval [30,34]: 0.9335690140724182
 risk of interval [35,39]: 0.5915178060531616
 risk of interval [40,44]: 0.4610965847969055
 risk of interval [45,49]: 0.540245532989502
 risk of interval [50,54]: 0.5508984923362732
 risk of interval [55,59]: 0.1995188444852829
 risk of interval [60,64]: 0.1319645494222641
 risk of interval [65,69]: 0.20076195895671844
 risk of interval [70,74]: 0.19075295329093933
26_011_P_snippet
 risk of interval [0,4]: 0.9271386861801147
 risk of interval [5,9]: 0.9185171723365784
 risk of interval [10,14]: 0.9727624654769897
 risk of interval [15,19]: 0.9816749095916748
 risk of interval [20,24]: 0.9869229197502136
 risk of interval [25,29]: 0.9693577885627747
 risk of interval [30,34]: 0.9617124199867249
 risk of interval [35,39]: 0.9872999787330627
 risk of interval [40,44]: 0.95390784740448
 risk of interval [45,49]: 0.6998897790908813
 risk of interval [50,54]: 0.12060315907001495
 risk of interval [55,59]: 0.14299164712429047
 risk of interval [60,64]: 0.7207247018814087
 risk of interval [65,69]: 0.6176282167434692
 risk of interval [70,74]: 0.34819668531417847
26_012_P_snippet
 risk of interval [0,4]: 0.02489352971315384
 risk of interval [5,9]: 0.015512099489569664
 risk of interval [10,14]: 0.37024497985839844
 risk of interval [15,19]: 0.850141704082489
 risk of interval [20,24]: 0.9382079839706421
 risk of interval [25,29]: 0.9675703644752502
 risk of interval [30,34]: 0.8929122090339661
 risk of interval [35,39]: 0.34829607605934143
 risk of interval [40,44]: 0.2246818244457245
 risk of interval [45,49]: 0.07594925165176392
 risk of interval [50,54]: 0.19096383452415466
 risk of interval [55,59]: 0.2063998281955719
 risk of interval [60,64]: 0.2766919732093811
 risk of interval [65,69]: 0.29305532574653625
 risk of interval [70,74]: 0.2534923255443573
26_013_P_snippet
 risk of interval [0,4]: 0.040092743933200836
 risk of interval [5,9]: 0.42698562145233154
 risk of interval [10,14]: 0.7628031373023987
 risk of interval [15,19]: 0.9280077219009399
 risk of interval [20,24]: 0.9862539768218994
 risk of interval [25,29]: 0.952454149723053
 risk of interval [30,34]: 0.8985552191734314
 risk of interval [35,39]: 0.7641010284423828
 risk of interval [40,44]: 0.8629593849182129
